NeedID,SystemRequirementID,DerivedRequirementID,ADRRefs,ModelElementRefs,VerificationCaseID,EvidenceLocator,Result,TraceStatus
NEED-001,SYS-001,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-001,evidence/SYS-001/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-002,SYS-002,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-002,evidence/SYS-002/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-003,SYS-003,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-003,evidence/SYS-003/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-005,SYS-004,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-004,evidence/SYS-004/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-006,SYS-005,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-005,evidence/SYS-005/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-007,SYS-006,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-006,evidence/SYS-006/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-004,SYS-007,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-007,evidence/SYS-007/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-009,SYS-008,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-008,evidence/SYS-008/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-010,SYS-009,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-009,evidence/SYS-009/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
NEED-011,SYS-010,,ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042,MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO,VC-SYS-010,evidence/SYS-010/,NOT_EXECUTED_PRE_IMPLEMENTATION,COMPLETE_FOR_DOCUMENTATION
