case_id,polarity,expected_status,path
POS-001,positive,,machine/examples/positive/POS-001.json
POS-002,positive,,machine/examples/positive/POS-002.json
POS-003,positive,,machine/examples/positive/POS-003.json
POS-004,positive,,machine/examples/positive/POS-004.json
POS-005,positive,,machine/examples/positive/POS-005.json
POS-006,positive,,machine/examples/positive/POS-006.json
POS-007,positive,,machine/examples/positive/POS-007.json
POS-008,positive,,machine/examples/positive/POS-008.json
POS-009,positive,,machine/examples/positive/POS-009.json
POS-010,positive,,machine/examples/positive/POS-010.json
POS-011,positive,,machine/examples/positive/POS-011.json
POS-012,positive,,machine/examples/positive/POS-012.json
POS-013,positive,,machine/examples/positive/POS-013.json
POS-014,positive,,machine/examples/positive/POS-014.json
POS-015,positive,,machine/examples/positive/POS-015.json
POS-016,positive,,machine/examples/positive/POS-016.json
POS-017,positive,,machine/examples/positive/POS-017.json
POS-018,positive,,machine/examples/positive/POS-018.json
POS-019,positive,,machine/examples/positive/POS-019.json
POS-020,positive,,machine/examples/positive/POS-020.json
POS-021,positive,,machine/examples/positive/POS-021.json
POS-022,positive,,machine/examples/positive/POS-022.json
POS-023,positive,,machine/examples/positive/POS-023.json
NEG-001,negative,,machine/examples/negative/NEG-001.json
NEG-002,negative,,machine/examples/negative/NEG-002.json
NEG-003,negative,,machine/examples/negative/NEG-003.json
NEG-004,negative,,machine/examples/negative/NEG-004.json
NEG-005,negative,,machine/examples/negative/NEG-005.json
NEG-006,negative,,machine/examples/negative/NEG-006.json
NEG-007,negative,,machine/examples/negative/NEG-007.json
NEG-008,negative,,machine/examples/negative/NEG-008.json
NEG-009,negative,,machine/examples/negative/NEG-009.json
NEG-010,negative,,machine/examples/negative/NEG-010.json
NEG-011,negative,,machine/examples/negative/NEG-011.json
NEG-012,negative,,machine/examples/negative/NEG-012.json
NEG-013,negative,,machine/examples/negative/NEG-013.json
NEG-014,negative,,machine/examples/negative/NEG-014.json
NEG-015,negative,,machine/examples/negative/NEG-015.json
NEG-016,negative,,machine/examples/negative/NEG-016.json
NEG-017,negative,,machine/examples/negative/NEG-017.json
NEG-018,negative,,machine/examples/negative/NEG-018.json
NEG-019,negative,,machine/examples/negative/NEG-019.json
NEG-020,negative,,machine/examples/negative/NEG-020.json
NEG-021,negative,,machine/examples/negative/NEG-021.json
NEG-022,negative,,machine/examples/negative/NEG-022.json
NEG-023,negative,,machine/examples/negative/NEG-023.json
NEG-024,negative,,machine/examples/negative/NEG-024.json
NEG-025,negative,,machine/examples/negative/NEG-025.json
NEG-026,negative,,machine/examples/negative/NEG-026.json
NEG-027,negative,,machine/examples/negative/NEG-027.json
NEG-028,negative,,machine/examples/negative/NEG-028.json
NEG-029,negative,,machine/examples/negative/NEG-029.json
NEG-031,negative,,machine/examples/negative/NEG-031.json
NEG-032,negative,,machine/examples/negative/NEG-032.json
NEG-033,negative,,machine/examples/negative/NEG-033.json
