TermID,Term,Definition,Owner,AllowedSynonyms,DeprecatedTerms,Status
TERM-001,ASET,Модульная платформа управляемого выполнения организационных задач.,Architecture Board,,,APPROVED_FOR_RC
TERM-002,ASET Memory,Модуль жизненного цикла организационной памяти и context projection.,Architecture Board,,,APPROVED_FOR_RC
TERM-003,ASET Core,Единственный эмитент одноразовых Permit и доверенное ядро атомарного пересечения нормативных гейтов.,Architecture Board,,,APPROVED_FOR_RC
TERM-004,ASET Master,"Независимый модуль планирования, критики и формирования подписанного ExpectedChangePatch.",Architecture Board,,Mastermind,APPROVED_FOR_RC
TERM-005,ASET Monade,Runtime жизненного цикла Task/Plan/Transition.,Architecture Board,,,APPROVED_FOR_RC
TERM-006,Task,Долгоживущая единица достижения цели с completion contract.,Architecture Board,,,APPROVED_FOR_RC
TERM-007,TaskIntent,Запрос на создание Task до валидации.,Architecture Board,,,APPROVED_FOR_RC
TERM-008,CompletionContract,Машинно проверяемое условие успешного завершения Task.,Architecture Board,,,APPROVED_FOR_RC
TERM-009,PlanRevision,Неизменяемая версия предложенного плана.,Architecture Board,,,APPROVED_FOR_RC
TERM-010,TransitionProposal,Предложение одного действия; не является разрешением.,Architecture Board,,,APPROVED_FOR_RC
TERM-011,Transition,Управляемая единица изменения состояния задачи.,Architecture Board,,,APPROVED_FOR_RC
TERM-012,TransitionGraph,Граф зависимостей Transition одной PlanRevision.,Architecture Board,,,APPROVED_FOR_RC
TERM-013,CoreDecision,DecisionRecord с нормативным verdict; не Permit.,Architecture Board,,,APPROVED_FOR_RC
TERM-014,Permit,"Ограниченный capability artifact, выданный на основании eligible decision.",Architecture Board,,,APPROVED_FOR_RC
TERM-015,PermitUse,"Устаревший термин прежней модели. В активной архитектуре факт одноразового пересечения удостоверяет GateCrossingReceipt, а Permit переходит в CONSUMED.",Architecture Board,,,DEPRECATED_SUPERSEDED_BY_RC2
TERM-016,ExecutionIntent,Зафиксированное намерение выполнить внешний эффект.,Architecture Board,,,APPROVED_FOR_RC
TERM-017,Outbox,Durable queue/record для диспетчеризации committed intent.,Architecture Board,,,APPROVED_FOR_RC
TERM-018,Observation,"Сообщение о том, что было замечено после исполнения; не evidence verdict.",Architecture Board,,,APPROVED_FOR_RC
TERM-019,Artifact,"Материал, созданный или собранный Worker.",Architecture Board,,,APPROVED_FOR_RC
TERM-020,Evidence,"Набор данных, пригодный для проверки claim согласно profile.",Architecture Board,,,APPROVED_FOR_RC
TERM-021,VerificationProfile,Версионированные правила проверки claims и evidence.,Architecture Board,,,APPROVED_FOR_RC
TERM-022,VerificationReceipt,Receipt с PASS/FAIL/UNKNOWN и evaluated claims.,Architecture Board,,,APPROVED_FOR_RC
TERM-023,Outcome,Подтверждённый или явно классифицированный результат Transition/Task.,Architecture Board,,,APPROVED_FOR_RC
TERM-024,RawEvent,Неизменяемое входное событие Memory.,Architecture Board,,,APPROVED_FOR_RC
TERM-025,NormalizedEvent,Provider-neutral представление RawEvent.,Architecture Board,,,APPROVED_FOR_RC
TERM-026,MemoryCandidate,Предложение создать/обновить MemoryItem.,Architecture Board,,,APPROVED_FOR_RC
TERM-027,MemoryItem,Принятая долговременная единица памяти.,Architecture Board,,,APPROVED_FOR_RC
TERM-028,EpistemicStatus,"Статус обоснованности claim, независимый от lifecycle MemoryItem.",Architecture Board,,,APPROVED_FOR_RC
TERM-029,SituationalFrame,Структура SUBJECT/GOAL/STATE/BRANCH/HISTORY/DECISIONS/CONSTRAINTS/REFERENTS/NEXT.,Architecture Board,,,APPROVED_FOR_RC
TERM-030,ContextProjection,Ограниченный набор frame/items/provenance для конкретной цели.,Architecture Board,,,APPROVED_FOR_RC
TERM-031,ContextReceipt,"Receipt формирования ContextProjection, включая omissions и budget.",Architecture Board,,,APPROVED_FOR_RC
TERM-032,ContextFeedback,Наблюдение о фактическом использовании контекста.,Architecture Board,,,APPROVED_FOR_RC
TERM-033,Authority,Основание субъекта действовать в определённом scope.,Architecture Board,,,APPROVED_FOR_RC
TERM-034,Responsibility,Назначенная организационная ответственность за область/результат.,Architecture Board,,,APPROVED_FOR_RC
TERM-035,Capability,Формализованный набор допустимых actions/resources/limits.,Architecture Board,,,APPROVED_FOR_RC
TERM-036,Delegation,Передача подмножества authority без расширения.,Architecture Board,,,APPROVED_FOR_RC
TERM-037,Obligation,"Обязательное действие с responsible principal, trigger и deadline.",Architecture Board,,,APPROVED_FOR_RC
TERM-038,Prohibition,Запрет действия в определённых условиях.,Architecture Board,,,APPROVED_FOR_RC
TERM-039,Waiver,Ограниченное разрешённое исключение из policy.,Architecture Board,,,APPROVED_FOR_RC
TERM-040,Policy precedence,Правила разрешения конфликтов между policies.,Architecture Board,,,APPROVED_FOR_RC
TERM-041,Risk tier,"Класс R0-R4, определяющий человеческий контроль.",Architecture Board,,,APPROVED_FOR_RC
TERM-042,Human gate,Требование human approval/decision до продолжения.,Architecture Board,,,APPROVED_FOR_RC
TERM-043,WorkerEnvelope,"Ограниченный пакет контекста, tools, permit, budget и verifier contract.",Architecture Board,,,APPROVED_FOR_RC
TERM-044,ToolCallProposal,Нормализованный tool call модели; не execution command.,Architecture Board,,,APPROVED_FOR_RC
TERM-045,Provider conversation,"Временный server-side cache провайдера, не ASET Memory.",Architecture Board,,,APPROVED_FOR_RC
TERM-046,Evidence level,Степень доказательности статистического вывода Master.,Architecture Board,,,APPROVED_FOR_RC
TERM-047,Cohort,Набор контекстно сопоставимых наблюдений.,Architecture Board,,,APPROVED_FOR_RC
TERM-048,Verified outcome,"Outcome, подтверждённый VerificationReceipt=PASS.",Architecture Board,,,APPROVED_FOR_RC
