ID,RequirementID,Objective,Preconditions,Inputs,Procedure,Oracle,Environment,EvidenceLocator,Status,Owner,CaseType,ExecutableArtifact,ExpectedErrorCode,OracleType,DocumentationOracleID,DocumentationConformanceStatus,ImplementationConformanceStatus
VC-SYS-001,SYS-001,Проверить выполнение SYS-001: Платформа должна управлять Task как последовательностью авторизованных переходов между неизменяемыми составными контекстами до явного TaskAcceptance.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-001.","Execute demonstration against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Для каждого conformance-сценария существует непрерывная цепочка context roots и ровно один terminal TaskAcceptance.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-001,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-001,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-002,SYS-002,"Проверить выполнение SYS-002: Платформа должна формировать подписанный составной контекст из scoped компонентов Memory, Master, Task, Execution, Acceptance и Authority.","Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-002.","Execute test against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Из всех включённых component digests воспроизводится тот же composite root; изменение одного байта изменяет root.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-002,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-002,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-003,SYS-003,"Проверить выполнение SYS-003: Платформа должна запрещать внешний эффект без отдельного ExecutionPermit для точного ExecutionDispatchSubmission, source dependency set и Dispatch Gate.","Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-003.","Execute security test against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Во всех negative tests отсутствие/несовпадение любого binding даёт ноль OutboxCommand и ноль effect attempt.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-003,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-003,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-004,SYS-004,Проверить выполнение SYS-004: Платформа должна сохранять причинную цепочку Context→ExpectedChangePatch→ExpectationPermit→ExpectationGate→OperationalBinding→ExecutionPermit→DispatchGate→Observation→Evidence→AcceptanceDecision.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-004.","Execute trace audit against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",100% переходов имеют непрерывные digest-ссылки и подписанные crossing receipts без пропусков.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-004,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-004,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-005,SYS-005,"Проверить выполнение SYS-005: Платформа должна поддерживать замену model provider без изменения канонического состояния Task, Memory или Core.","Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-005.","Execute compatibility test against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Один сценарий продолжается на двух provider adapters с одинаковыми canonical receipts и без потери state.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-005,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-005,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-006,SYS-006,Проверить выполнение SYS-006: Все официальные модули должны развёртываться и обновляться независимо через ASET Protocol.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-006.","Execute inspection and test against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Dependency scan: нет импорта internal domain/storage другого модуля; contract compatibility suite проходит.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-006,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-006,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-007,SYS-007,Проверить выполнение SYS-007: Платформа должна применять risk tier и обязательный human gate для неделегируемых/high-impact actions.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-007.","Execute safety case against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Для R3/R4 сценариев без требуемого approval receipt dispatch отсутствует; accountable owner всегда указан.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-007,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-007,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-008,SYS-008,"Проверить выполнение SYS-008: Платформа должна восстанавливаться после сбоя на любой границе гейта без двойного crossing, повторного Permit и ложного результата внешнего эффекта.","Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-008.","Execute fault injection against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Fault injection до/после linearization point сохраняет один crossing_id→один target context; unknown effect остаётся UNKNOWN.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-008,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-008,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-009,SYS-009,Проверить выполнение SYS-009: Платформа должна регистрировать результаты шагов и траекторий для контекстно сопоставимого статистического анализа.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-009.","Execute data audit against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.","Каждый assessed transition имеет context fingerprint, action class, costs, outcome class и evidence level либо explicit missing status.",Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-009,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-009,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
VC-SYS-010,SYS-010,Проверить выполнение SYS-010: Платформа должна предоставлять native Task API и compatibility adapters для современных LLM API.,"Normative model 1.5-rc11, referenced schemas, ADRs (ADR-029;ADR-030;ADR-033;ADR-035;ADR-036;ADR-042) and dependency state (none) are loaded.","Nominal, boundary, stale/replay and negative fixtures specific to SYS-010.","Execute api conformance against the exact artifact/transition defined by MOD-MEM;MOD-CORE;MOD-MASTER;MOD-MONADE;MOD-GW;MOD-PROTO; capture inputs, digests, receipts and observed state transitions.",Native API покрывает полный lifecycle; compatibility adapter сохраняет provider-compatible basic request/stream behavior в заявленном profile.,Python 3.11+; jsonschema Draft 2020-12; package conformance corpus.,validation/conformance_results.json,NOT_EXECUTED_PRE_IMPLEMENTATION,Architecture Board,STRUCTURAL_DOCUMENTATION_ORACLE_AND_IMPLEMENTATION_PLAN,conformance/requirement_oracles.json#DOC-ORACLE-SYS-010,VECTOR_SPECIFIC,STRUCTURAL_TRACEABILITY_ORACLE_AND_FUTURE_IMPLEMENTATION_ORACLE,DOC-ORACLE-SYS-010,STRUCTURAL_TRACEABILITY_EXECUTABLE,NOT_EXECUTED_PRE_IMPLEMENTATION
