ID,Title,Decision,Rationale,Status,Revision,Date
ADR-001,Independent modules,Each module owns state and is integrated through ASET Protocol; no shared internal tables or direct state mutation.,Preserves replaceability and independent assurance.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-002,Monade ownership,Monade owns Task/Plan/Transition lifecycles only.,Prevents God object and protects module semantics.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-003,Core independence,"Core has no dependency on Memory, Master, Monade or Gateway.",Keeps normative decision auditable and reusable.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-004,Memory four-model lifecycle,"Separate EventIngestion, CandidateDecision, MemoryItem lifecycle and EpistemicStatus.",Avoids identity/state mixing.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-005,Verifier authority,Verifier issues VerificationReceipt; Memory applies it and cannot self-verify.,Maintains epistemic independence.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-006,Decision versus Permit,Core verdict ALLOW is a DecisionRecord; Permit is a separate bounded capability artifact.,Avoids semantic conflation.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-007,Three transactional boundaries,"Use three local transactions around intent, observation and outcome.",External effects cannot be enclosed in one database transaction.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-008,Compensation model,Compensation is a new independently authorized transition and only follows evidence of effect footprint.,Preserves causality.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-009,Master evidence levels,"DESCRIPTIVE, ASSOCIATIONAL, MATCHED_OBSERVATIONAL, QUASI_EXPERIMENTAL, CONTROLLED_EXPERIMENTAL.",Prevents causal overclaiming.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-010,Canonical protocol profile,Canonical semantic schema and canonical JSON profile are mandatory; binary profiles are optional.,Keeps MVP small and semantics stable.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-011,Provider state,"Provider conversations are disposable caches, never canonical memory.",Enables model portability.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-012,Context read authorization,Monade obtains a Core decision/permit before restricted Memory retrieval in managed/strict profiles.,Separates policy and memory.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-013,Receipts and integrity,All cross-module material decisions produce versioned digest-bearing receipts; strict profile requires signatures.,Supports audit and non-repudiation.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-014,Risk tiers and human gates,R0-R4 determine human control and nondelegable action classes.,Protects accountability and safety.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-015,PostgreSQL role,PostgreSQL is preferred reference platform but not architecture definition.,Avoids technology lock-in.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-016,Outbox dispatch,External effects are dispatched only from durable intent/outbox after commit.,Crash-safe execution.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-017,Memory indexes,Graph/vector/hierarchy/holographic forms are derived indexes.,Prevents derived data becoming truth.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-018,Task terminal states,"Only COMPLETED, FAILED, CANCELLED, INVALID, SUPERSEDED and EXHAUSTED are terminal; waits/suspension are nonterminal.",Avoids BLOCKED ambiguity.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-019,Conformance profiles,"Define Core-only, Contextual, Advisory, Managed and Strict profiles.",Makes ASET-compatible claims precise.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-020,Quality taxonomy,ISO/IEC 25010:2023 is primary quality map; FURPS+ is secondary reporting view.,Removes FURPS ambiguity.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-021,Requirements hierarchy,Stakeholder needs derive system requirements; system requirements derive module/interface/data requirements.,Enables real traceability.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-022,Freeze governance,"Freeze requires owner approval record, hashes, clean-room build and zero open Critical/High findings.",Makes baseline controllable.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-023,Privacy and legal controls,"Legal basis, purpose, jurisdiction, retention, hold and data-subject rights are first-class controls.",Enterprise/regulatory readiness.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-024,Observability privacy,Telemetry contains IDs/digests by default; content requires explicit policy.,Minimizes leakage.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-025,Tool classification,"Tools are Pure, Read, Mutating or Critical; execution path depends on class.",Prevents over-authorizing routine tools.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-026,Unknown handling,"UNKNOWN never implies allow or success; handling is policy-driven evidence request, human escalation or fail-closed.",Safety under uncertainty.,SUPERSEDED_BY_RC2,2,2026-08-02
ADR-027,Reference code status,Existing code is non-normative; compatibility is established only by conformance tests.,Preserves architecture-first source of truth.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-028,Open-source boundary,"Specification, protocol, conformance suite and reference data plane are open; commercial value is support, managed control plane, certifications and process packs.",Aligns Apache 2.0 business model.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-029,Master owns planning and expected change,"ASET Master includes planning, criticism and replanning and is the sole semantic owner and signer of ExpectedChangePatch.",Removes the ownerless Planner and prevents Monade or Core from inventing desired state.,ACCEPTED_FOR_RC,1,2026-08-02
ADR-030,Core is sole Permit issuer,"ASET Core is the only component allowed to create an authority-bearing Permit. Other signatures are evidence, provenance or approval only.",Eliminates dual authority and implicit permissions.,ACCEPTED_FOR_RC,1,2026-08-02
